Running experiment prop99
Pretraining model on donor units
Iteration:8000	Loss_mean:0.0012746492781298003	Loss_std:0.0010779380167407584
Iteration:8100	Loss_mean:0.001702109404213843	Loss_std:0.0017668495669548683
Iteration:8200	Loss_mean:0.001110278296546312	Loss_std:0.0015745545550142862
Iteration:8300	Loss_mean:0.001163758473294365	Loss_std:0.0011464982081842259
Iteration:8400	Loss_mean:0.0010715694897589856	Loss_std:0.001156915954659144
Iteration:8500	Loss_mean:0.0009387313481420278	Loss_std:0.001061079545880447
Iteration:8600	Loss_mean:0.0016630370943676099	Loss_std:0.0017966646806189457
Iteration:8700	Loss_mean:0.0010230905223215813	Loss_std:0.001336528987096918
Iteration:8800	Loss_mean:0.001420113417043467	Loss_std:0.0016116344457714593
Iteration:8900	Loss_mean:0.0015270052933556144	Loss_std:0.0022131944278474054
Iteration:9000	Loss_mean:0.00177770055430301	Loss_std:0.0033547401765369233
Iteration:9100	Loss_mean:0.0011947733368833724	Loss_std:0.0020879566308686474
Iteration:9200	Loss_mean:0.0010823960757898022	Loss_std:0.0012261309688433703
Iteration:9300	Loss_mean:0.0012014137830556138	Loss_std:0.001476739604592263
Iteration:9400	Loss_mean:0.0009575278624561179	Loss_std:0.0009630956588404786
Iteration:9500	Loss_mean:0.0012070071209745947	Loss_std:0.0012429137876085765
Iteration:9600	Loss_mean:0.0009976009037927724	Loss_std:0.0009480091785407822
Iteration:9700	Loss_mean:0.0010128057771362365	Loss_std:0.0011674157565820726
Iteration:9800	Loss_mean:0.00108876672336919	Loss_std:0.0013701034183991004
Iteration:9900	Loss_mean:0.0010171508747225744	Loss_std:0.0009595115253239274
Iteration:10000	Loss_mean:0.0009716483490046813	Loss_std:0.0008378664393556605
Iteration:10100	Loss_mean:0.0009701897742888832	Loss_std:0.0009350795423951918
Iteration:10200	Loss_mean:0.0009799588578971452	Loss_std:0.0011349803412884437
Iteration:10300	Loss_mean:0.0012109910036815564	Loss_std:0.0018166675444105695
Iteration:10400	Loss_mean:0.0016488905719597823	Loss_std:0.0019109655980334927
Iteration:10500	Loss_mean:0.0016485660116450163	Loss_std:0.001873468768009286
Iteration:10600	Loss_mean:0.0014108235563435301	Loss_std:0.0020347105344634873
Iteration:10700	Loss_mean:0.0014609635894885288	Loss_std:0.0015760424717733948
Iteration:10800	Loss_mean:0.0018425917436434248	Loss_std:0.0020979104441903188
Iteration:10900	Loss_mean:0.0016622446015389868	Loss_std:0.003498655124718993
Iteration:11000	Loss_mean:0.0024574600588130125	Loss_std:0.005289478094473962
Iteration:11100	Loss_mean:0.0008472136740601855	Loss_std:0.0008827136737790833
Iteration:11200	Loss_mean:0.0009346238639864168	Loss_std:0.001113218682060326
Iteration:11300	Loss_mean:0.0008524557136115618	Loss_std:0.0009869077763233723
Iteration:11400	Loss_mean:0.0007486608108047221	Loss_std:0.0006445417921404175
Iteration:11500	Loss_mean:0.0009936701481456111	Loss_std:0.0011601368789440898
Iteration:11600	Loss_mean:0.0008032942276804533	Loss_std:0.0007098344969177056
Iteration:11700	Loss_mean:0.0008365921199947479	Loss_std:0.0007143208723590207
Iteration:11800	Loss_mean:0.0007088080943503883	Loss_std:0.0006621902213709709
Iteration:11900	Loss_mean:0.0008427868880244205	Loss_std:0.0010410022919357547
Iteration:12000	Loss_mean:0.0009451477867332869	Loss_std:0.0009986928648766265
Iteration:12100	Loss_mean:0.001144252223566582	Loss_std:0.0019368886286804453
Iteration:12200	Loss_mean:0.0014275488624298305	Loss_std:0.001968502624256403
Iteration:12300	Loss_mean:0.002788212297273276	Loss_std:0.004114914391075241
Iteration:12400	Loss_mean:0.002035777488636086	Loss_std:0.003990463752311958
Iteration:12500	Loss_mean:0.0017330200461583446	Loss_std:0.0018532327227521155
Iteration:12600	Loss_mean:0.0007994371649692766	Loss_std:0.0010100344316840138
Iteration:12700	Loss_mean:0.0007058559833785694	Loss_std:0.0008438660346758033
Iteration:12800	Loss_mean:0.0007903510274627479	Loss_std:0.0009311778292301876
Iteration:12900	Loss_mean:0.0006517697417802993	Loss_std:0.0006482557714003216
Iteration:13000	Loss_mean:0.0006832205302998773	Loss_std:0.0011991767817017165
Iteration:13100	Loss_mean:0.001129041733511258	Loss_std:0.0016902958794687594
Iteration:13200	Loss_mean:0.0006992705627999385	Loss_std:0.0006977582148283579
Iteration:13300	Loss_mean:0.0007401675995788537	Loss_std:0.0007030812422125969
Iteration:13400	Loss_mean:0.0009049853135729791	Loss_std:0.0011649143787451533
Iteration:13500	Loss_mean:0.0007295877053729782	Loss_std:0.0010042206241079106
Iteration:13600	Loss_mean:0.0009976260145776906	Loss_std:0.001948008708043567
Iteration:13700	Loss_mean:0.0011257693411334912	Loss_std:0.0017221755566357222
Iteration:13800	Loss_mean:0.001129712458478025	Loss_std:0.0011287180662777323
Iteration:13900	Loss_mean:0.00047065868082427184	Loss_std:0.00043711318253303213
Iteration:14000	Loss_mean:0.000621082946236129	Loss_std:0.0006350578303902636
Iteration:14100	Loss_mean:0.0007027846435448737	Loss_std:0.0007298065445661073
Iteration:14200	Loss_mean:0.0006481099106531474	Loss_std:0.0006094968614568692
Iteration:14300	Loss_mean:0.0006956966863799608	Loss_std:0.0008079816467396379
Iteration:14400	Loss_mean:0.0006016616412307485	Loss_std:0.0006674805356843084
Iteration:14500	Loss_mean:0.001273092592273315	Loss_std:0.0014855955525158112
Iteration:14600	Loss_mean:0.001216603746288456	Loss_std:0.0014554365014406243
Iteration:14700	Loss_mean:0.0006483928284797002	Loss_std:0.0009596692115457466
Iteration:14800	Loss_mean:0.0009598973110405496	Loss_std:0.001168473130587164
Iteration:14900	Loss_mean:0.0006992319145501824	Loss_std:0.0008006401823494399
Iteration:15000	Loss_mean:0.0004388934073904238	Loss_std:0.00042242064667803996
Iteration:15100	Loss_mean:0.0009606328599147673	Loss_std:0.001197959974151987
Iteration:15200	Loss_mean:0.0009156080432512681	Loss_std:0.001280382576623091
Iteration:15300	Loss_mean:0.0008548059366876259	Loss_std:0.0012766520491548608
Iteration:15400	Loss_mean:0.0007980317801775527	Loss_std:0.0012700651133865488
Iteration:15500	Loss_mean:0.000869801812714286	Loss_std:0.0010068785692436456
Iteration:15600	Loss_mean:0.00043502695092684007	Loss_std:0.0004688235250686655
Iteration:15700	Loss_mean:0.0003444110305827053	Loss_std:0.00031459982354180966
Iteration:15800	Loss_mean:0.00047353845307952726	Loss_std:0.0007277029633999815
Iteration:15900	Loss_mean:0.000824844084054348	Loss_std:0.0009055003818165664
Iteration:16000	Loss_mean:0.0005752139510514098	Loss_std:0.0006272093076180569
Iteration:16100	Loss_mean:0.00047214358073688345	Loss_std:0.000657575437373088
Iteration:16200	Loss_mean:0.0006961541575219598	Loss_std:0.0008904567122342148
Iteration:16300	Loss_mean:0.0004794222463897313	Loss_std:0.0005168335711374517
Iteration:16400	Loss_mean:0.0005715676377803902	Loss_std:0.0005911544091751108
Iteration:16500	Loss_mean:0.0005643448798218743	Loss_std:0.0005556792873083543
Iteration:16600	Loss_mean:0.0005355002456053626	Loss_std:0.0005395738702488984
Iteration:16700	Loss_mean:0.0014224007158009045	Loss_std:0.0024752839422146223
Iteration:16800	Loss_mean:0.0005096500339095655	Loss_std:0.0005405160083044475
