Pretraining model on donor units
Iteration:8000	Loss_mean:0.0028175954711332453	Loss_std:0.0034251506525854853
Iteration:8100	Loss_mean:0.0032340600169845856	Loss_std:0.003917355453973274
Iteration:8200	Loss_mean:0.002483786700940982	Loss_std:0.003580953446063153
Iteration:8300	Loss_mean:0.0023440528503851964	Loss_std:0.00256395347203414
Iteration:8400	Loss_mean:0.0021732883332151688	Loss_std:0.00242199315401315
Iteration:8500	Loss_mean:0.002062597992371593	Loss_std:0.0025407321357387267
Iteration:8600	Loss_mean:0.0013992210102878745	Loss_std:0.0016209852795970895
Iteration:8700	Loss_mean:0.0015918293088907375	Loss_std:0.001952816191287084
Iteration:8800	Loss_mean:0.0009811775803245837	Loss_std:0.001071976518177273
Iteration:8900	Loss_mean:0.001344245311920531	Loss_std:0.0016732030654388727
Iteration:9000	Loss_mean:0.001016728986360249	Loss_std:0.0014116158537069176
Iteration:9100	Loss_mean:0.0023412648482735677	Loss_std:0.003111706368897444
Iteration:9200	Loss_mean:0.00237250008409319	Loss_std:0.003125827458248333
Iteration:9300	Loss_mean:0.0012246949764085002	Loss_std:0.0011748910263376063
Iteration:9400	Loss_mean:0.001184835014937562	Loss_std:0.001507162852690718
Iteration:9500	Loss_mean:0.0017643657722464922	Loss_std:0.0033243887998050366
Iteration:9600	Loss_mean:0.001999531402216235	Loss_std:0.0021147961518953105
Iteration:9700	Loss_mean:0.0015737063740016311	Loss_std:0.0015447475720687417
Iteration:9800	Loss_mean:0.0011022192894961336	Loss_std:0.0010883992668766537
Iteration:9900	Loss_mean:0.0027944302315154345	Loss_std:0.0031795116774161777
Iteration:10000	Loss_mean:0.0010360104987194062	Loss_std:0.0010307425352737787
Iteration:10100	Loss_mean:0.0008139867300633341	Loss_std:0.0008299992992673016
Iteration:10200	Loss_mean:0.0013235688135682722	Loss_std:0.0014095996326467576
Iteration:10300	Loss_mean:0.0009694007291182061	Loss_std:0.0012341246421457449
Iteration:10400	Loss_mean:0.0010094868574378778	Loss_std:0.0010121383165049586
Iteration:10500	Loss_mean:0.0012405003160893102	Loss_std:0.0011188966811547282
Iteration:10600	Loss_mean:0.0020661776849738088	Loss_std:0.002947904894310786
Iteration:10700	Loss_mean:0.0018407284434397298	Loss_std:0.0017538420903650995
Iteration:10800	Loss_mean:0.002849639696942177	Loss_std:0.0030973875378896955
Iteration:10900	Loss_mean:0.0021365756215527654	Loss_std:0.002911382889002585
Iteration:11000	Loss_mean:0.0006740456421539421	Loss_std:0.0007372889034476711
Iteration:11100	Loss_mean:0.0008393406477989629	Loss_std:0.0010034499938010415
Iteration:11200	Loss_mean:0.0008096575164245224	Loss_std:0.0008682585662928754
Iteration:11300	Loss_mean:0.000629001930119557	Loss_std:0.0006426553730166485
Iteration:11400	Loss_mean:0.0006645107369513425	Loss_std:0.0008800288710623903
Iteration:11500	Loss_mean:0.0007618638886015105	Loss_std:0.0010655892761723472
Iteration:11600	Loss_mean:0.0008166180398075085	Loss_std:0.0011263363289000454
Iteration:11700	Loss_mean:0.000777903220277949	Loss_std:0.0009459747333363549
Iteration:11800	Loss_mean:0.0024417367919886603	Loss_std:0.0027720882061440717
Iteration:11900	Loss_mean:0.004155972047083196	Loss_std:0.004908287554213928
Iteration:12000	Loss_mean:0.002067102677174262	Loss_std:0.0029365226272883853
